address,permit_no,permit_date,description,lead_status
"23 CAMEO CT, A, WALCR CA 94597",B250927,07/26/2025,"PreApproved ADU - Plan 2 (Extending current utilities from my house)",New
"2473 ENCINAL DR, A, WALCR 94597",R25234,07/24/2025,"CHANGE THE LOCATION OF SOLAR PANELS OF THE DETACHED ADU- MOVE TO OTHER SIDE OF THE ROOF - REVISION TO B241531",New
"2354 WALNUT BL BLVD, WALCR CA 94597",B250904,07/20/2025,"REMODEL OF GARAGE TO REMOVE EAVES & UPGRADE PORTION TO A 1-HOUR RATING PER THE REQUIREMENTS OF THE ADJACENT ADU. (FOR ADU REFER TO APPROVED BUILDING PERMIT #B250389)",New
"51 GOBEL WAY, WALCR CA 94597",B241026,07/19/2024,"Remodeling garage and adding one more garage to the two car garage existing and make a ADU unit.",New
"51 GOBEL WAY, WALCR CA 94597",S24153-E,07/19/2024,"SOLAR for ADU (B241026)",New
"125 ROCK OAK CT, WALCR CA 94598",B250889,07/16/2025,"Remodel a detached garage into an ADU.",New
"22 BRANDON OAKS PL, A, WALCR 94597",B241006,07/16/2024,"(N) DETACHED ADU - 593 SF",New
"40 NORMANDY LN, A, WALCR CA 94598",R26240,07/13/2026,"Move electrical sub panel in ADU to exterior of building. Install solar panels for ADU on roof of existing Main Residence.",New
"2348 WALNUT BL BLVD, WALCR CA 94597",B250867,07/11/2025,"313 sq. ft. Addition to (E) attached ADU. 240 sq. ft. Addition to (E) Garage.",New
"1005 HOMESTEAD AV AVE, WALCR CA 94598",B250861,07/10/2025,"REMOVE 2 WINDOWS REPLACE WITH STUCCO, ADD 1 BATHROOM, ADD WET BAR, CLOSET/STORAGE. No Conversation to JADU.",New
"39 LOS CERROS AV AVE, WALCR CA 94598",B240979,07/08/2024,"(N) DETACHED ADU",New
"2032 ESSENAY AV AVE, WALCR CA 94597",B240940,07/04/2024,"744 sqft ADU - PRE-MANUFACTURED (HUD) - REVISION UNDER R25252",New
"2049 BELFORD DR, A, WALCR 94598",B240941,07/04/2024,"NEW DETACHED ADU 800 SF & UPGRADE ELECTRICAL PANEL TO 200 AMP, 125 AMP FOR ADU & 100 AMP FOR MAIN DWELLING.",New
"1661 SURREY CT, WALCR CA 94598",S24140-E,07/02/2024,"ONLINE - An ADU was built. The original approved plan called for additional solar panels to be added to the main house to meet the solar requirment. Those panels were added.",New
"2024 MALLARD DR, WALCR CA 94597",B250797,06/26/2025,"NEW DETACHED ADU.",New
"40 NORMANDY LN, A, WALCR CA 94598",B250783,06/24/2025,"494 Sq. Ft ADU in rear of existing single-family residence.",New
"1881 SHUEY AV AVE, WALCR CA 94596",R25179,06/19/2025,"REVISION TO S25008-E - 1. Sheets PV1, PV2 and PV3 are updated to show panel model changed. 2. Sheets PV1A, PV1B, PV2, PV2A and PV4 show ADU has now changed to 2 units that share the same roof. The PV panels for the other unit are shown on the roof as the panels for this project will be placed under them. 3. Sheet PV2A and PV3A show rail type is updated. 4. Sheets PV1A, PV2, PV3 and PV4 show sub panel is removed, main service panel and new system will connect to main service panel.",New
"1181 SCOTS LN, WALCR CA 94596",B260820,06/18/2026,"(N) Detached manufactured ADU 800 sf",New
"1580 3RD AVE, WALCR CA 94597",B260825,06/18/2026,"CONSTRUCT A NEW DETACHED ACCESSORY DWELLING UNIT (ADU)",New
"35 DRAKE CT, A, WALCR 94597",B250763,06/18/2025,"(N) 598 sf DETACHED ADU",New
"2725 ECCLESTON AV AVE, WALCR CA 94597",B260807,06/15/2026,"New Detached ADU 593 sf",New
"391 DOVER DR, WALCR CA 94598",B260783,06/11/2026,"Demo side walk to build driveway into property in front of new ADU",New
"2129 YOUNGS CT, A, WALCR 94596",B240845,06/07/2024,"CONVERT EXISTING GARAGE INTO ATTACHED ADU, ADDITION AND (N) COVERED PORCH",New
"1910 SAN MIGUEL DR, WALCR CA 94596",B260744,06/06/2026,"CONVERT 500 s.f. OF (E) LIVING SPACE TO JADU",New
"1725 SUNNYVALE AV AVE, WALCR CA 94597",B260742,06/05/2026,"SFR plus JADU",New
"1725 SUNNYVALE AV AVE, WALCR CA 94597",B260772,06/05/2026,"SFR plus JADU",New
"1725 SUNNYVALE AV AVE, WALCR CA 94597",B260773,06/05/2026,"SFR plus JADU",New
"1725 SUNNYVALE AV AVE, WALCR CA 94597",B260774,06/05/2026,"SFR plus JADU",New
"1725 SUNNYVALE AV AVE, WALCR CA 94597",B260775,06/05/2026,"SFR plus JADU",New
"1725 SUNNYVALE AV AVE, WALCR CA 94597",B260776,06/05/2026,"SFR plus JADU",New
"1725 SUNNYVALE AV AVE, WALCR CA 94597",B260777,06/05/2026,"SFR plus JADU",New
"45 SUN VALLEY DR, WALCR CA 94597",B260736,06/04/2026,"CONVERT EXISTING DETACHED SINGLE CAR GARAGE INTO 2 BEDROOM 1 BATH ADU 898 SF ALL ELECTRIC",New
"412 CASTLE ROCK RD, WALCR CA 94598",B260738,06/04/2026,"CONVERT THE EXISTING REAR SUN ROOM TO A 495 SF JADU. CONVERT THE FRONT GARAGE TO AN ADU AND ADD A NEW STORY, FOR A TOTAL AREA OF 857 SF.",New
"391 DOVER DR, A, WALCR CA 94598",B250707,06/04/2025,"Manufactured ADU built to HUD specifications to be installed on property. REVISION: R25353",New
"205 PICKERING PL, WALCR CA 94598",B260733,06/03/2026,"Adding an ADU to existing structure. Relocating an existing bathroom.",New
"23 CAMEO CT, WALCR CA 94597",R26195,06/01/2026,"REVISION TO B250927 - Change from Cottage Style to Modern Style, within the PRADU plan",New
"2161 WALNUT BL BLVD, WALCR CA 94597",B260715,05/31/2026,"CONSTRUCTION OF A NEW 785 SF ONE (1) BEDROOM ONE (1) STORY DETACHED ADU TO BE BUILT FROM GROUND UP ON FLAT LOT.",New
"1892 SUNNYVALE AVE, A, WALCR CA 94597",B240766,05/30/2024,"(N) ATTACHED ADU AND INTERIOR REMODEL OF MAIN HOUSE",New
"1666 N MAIN ST, WALCR CA 94596",B260705,05/28/2026,"PRADU Code Update - PLAN 1",New
"1666 N MAIN ST, WALCR CA 94596",B260706,05/28/2026,"PRADU Code Update - Plan 2",New
"1666 N MAIN ST, WALCR CA 94596",B260707,05/28/2026,"PRADU Code Update - Plan 3",New
"1666 N MAIN ST, WALCR CA 94596",B260708,05/28/2026,"PRADU Code Update - Plan 4",New
"1730 1ST AVE, A, WALCR CA 94597",B250682,05/28/2025,"(N) ATTACHED ADU",New
"1764 THIRD AV, WALCR CA 94596",R25152,05/28/2025,"Changing the ADU HVAC from mini split to central AC - REVISION TO B240356",New
"1514 CARMEL DR, WALCR CA 94596",B260693,05/26/2026,"LEGALIZATION OF UNPERMITTED ADU - Application and permit AB 2533 ADU Amnesty Program. Existing garage conversion , one studio space with bathroom, sink.",New
"1876 SUNNYVALE AV, A, WALCR CA 94597",B240745,05/24/2024,"(N) Detached ADU",New
"1072 HACIENDA DR, WALCR CA 94598",B260639,05/19/2026,"ADD A NEW 992 sq. ft. TWO-STORY DETACHED ACCESSORY DWELLING UNIT (ADU) IN THE BACK YARD",New
"120 SUMMIT RD, WALCR CA 94598",R25137,05/15/2025,"Foundation - new foundation detail showing a taller foundation wall dug down past the lowest block of the decorative block wall, 12” below undisturbed soil following the same structural calculations as the rest of the foundation. This will be done behind the decorative block wall and the new detail has the engineer’s stamp and note stating the block wall has no foundation and will not affect the ADU’s foundation. - REVISION TO B241457",New
"707 AUTUMN DR, Unit A, WALCR CA 94598",B240698,05/15/2024,"NEW CONSTRUCTION OF A 622 SQ.FT. 1-STORY DETACHED ADU.",New
"2975 HURLSTONE CT, WALCR CA 94598",B250604,05/14/2025,"(N) DETACHED 995sf ADU",New
"141 NORLYN DR, WALCR CA 94596",R26169,05/13/2026,"Change to the design of the ceiling in ADU addition on FL1 from eight-foot to cathedral style, and removal of the entry coat closet on FL1. These changes will not create additional square footage or roof height. - REVISION TO B251206",New
"132 CALLE NOGALES, WALCR CA 94597",S26070-E,05/13/2026,"ONLINE - (N) 2.05KWDC (STC) ROOF MOUNTED PHOTOVOLTAIC SYSTEM FOR ADU",New
"32 VARTAN CT, A, WALCR CA 94597",B240681,05/10/2024,"CONVERT WORKSHOP OVER GARAGE TO ADU",New
"40 SANTA RITA DR, WALCR CA 94596",B241009,05/10/2024,"(N) DETACHED ADU",New
